Número;Datos - generales;;;;;;;;;;;;;;;;;;;;;;;;
462;5;;;;;;;;;;;;;;;;;;;;;;;;
463;6;;;;;;;;;;;;;;;;;;;;;;;;
464;4;;;;;;;;;;;;;;;;;;;;;;;;
465;3;;;;;;;;;;;;;;;;;;;;;;;;
466;4;;;;;;;;;;;;;;;;;;;;;;;;
467;6;;;;;;;;;;;;;;;;;;;;;;;;
468;5;;;;;;;;;;;;;;;;;;;;;;;;
469;4;;;;;;;;;;;;;;;;;;;;;;;;
470;6;;;;;;;;;;;;;;;;;;;;;;;;
471;8;;;;;;;;;;;;;;;;;;;;;;;;
472;5;;;;;;;;;;;;;;;;;;;;;;;;
473;5;;;;;;;;;;;;;;;;;;;;;;;;
474;5;;;;;;;;;;;;;;;;;;;;;;;;
475;4;;;;;;;;;;;;;;;;;;;;;;;;
476;5;;;;;;;;;;;;;;;;;;;;;;;;
477;8;;;;;;;;;;;;;;;;;;;;;;;;
478;4;;;;;;;;;;;;;;;;;;;;;;;;
479;5;;;;;;;;;;;;;;;;;;;;;;;;
480;5;;;;;;;;;;;;;;;;;;;;;;;;
481;3;;;;;;;;;;;;;;;;;;;;;;;;
482;3;;;;;;;;;;;;;;;;;;;;;;;;
483;4;;;;;;;;;;;;;;;;;;;;;;;;
484;5;;;;;;;;;;;;;;;;;;;;;;;;
485;2;;;;;;;;;;;;;;;;;;;;;;;;
486;7;;;;;;;;;;;;;;;;;;;;;;;;
487;4;;;;;;;;;;;;;;;;;;;;;;;;
488;5;;;;;;;;;;;;;;;;;;;;;;;;
489;4;;;;;;;;;;;;;;;;;;;;;;;;
490;6;;;;;;;;;;;;;;;;;;;;;;;;
491;5;;;;;;;;;;;;;;;;;;;;;;;;
492;6;;;;;;;;;;;;;;;;;;;;;;;;
